,period,area-name,product-name,process,series,value,units
0,2022-12,TX,Natural Gas,PEU,N3045TX3,5.34,$/MCF
1,2022-12,TX,Natural Gas,PRS,N3010TX3,16.01,$/MCF
5,2022-12,TX,Natural Gas,PCS,N3020TX3,12.33,$/MCF
6,2022-12,TX,Natural Gas,PG1,N3050TX3,6.82,$/MCF
7,2022-12,TX,Natural Gas,PIN,N3035TX3,6.52,$/MCF
8,2022-11,TX,Natural Gas,PCS,N3020TX3,11.96,$/MCF
11,2022-11,TX,Natural Gas,PIN,N3035TX3,5.04,$/MCF
12,2022-11,TX,Natural Gas,PRS,N3010TX3,17.1,$/MCF
14,2022-11,TX,Natural Gas,PEU,N3045TX3,4.74,$/MCF
15,2022-11,TX,Natural Gas,PG1,N3050TX3,6.05,$/MCF
17,2022-10,TX,Natural Gas,PEU,N3045TX3,5.24,$/MCF
20,2022-10,TX,Natural Gas,PG1,N3050TX3,6.34,$/MCF
21,2022-10,TX,Natural Gas,PIN,N3035TX3,5.82,$/MCF
22,2022-10,TX,Natural Gas,PRS,N3010TX3,26.54,$/MCF
23,2022-10,TX,Natural Gas,PCS,N3020TX3,14.02,$/MCF
25,2022-09,TX,Natural Gas,PG1,N3050TX3,9.27,$/MCF
26,2022-09,TX,Natural Gas,PRS,N3010TX3,31.9,$/MCF
27,2022-09,TX,Natural Gas,PCS,N3020TX3,15.15,$/MCF
28,2022-09,TX,Natural Gas,PIN,N3035TX3,9.26,$/MCF
30,2022-09,TX,Natural Gas,PEU,N3045TX3,7.63,$/MCF
32,2022-08,TX,Natural Gas,PCS,N3020TX3,14.93,$/MCF
33,2022-08,TX,Natural Gas,PIN,N3035TX3,9.0,$/MCF
34,2022-08,TX,Natural Gas,PEU,N3045TX3,8.52,$/MCF
35,2022-08,TX,Natural Gas,PRS,N3010TX3,33.69,$/MCF
36,2022-08,TX,Natural Gas,PG1,N3050TX3,10.07,$/MCF
40,2022-07,TX,Natural Gas,PCS,N3020TX3,13.34,$/MCF
41,2022-07,TX,Natural Gas,PEU,N3045TX3,7.12,$/MCF
43,2022-07,TX,Natural Gas,PG1,N3050TX3,10.59,$/MCF
44,2022-07,TX,Natural Gas,PIN,N3035TX3,7.18,$/MCF
47,2022-07,TX,Natural Gas,PRS,N3010TX3,29.68,$/MCF
49,2022-06,TX,Natural Gas,PIN,N3035TX3,9.36,$/MCF
50,2022-06,TX,Natural Gas,PRS,N3010TX3,27.75,$/MCF
52,2022-06,TX,Natural Gas,PEU,N3045TX3,7.61,$/MCF
53,2022-06,TX,Natural Gas,PG1,N3050TX3,9.7,$/MCF
54,2022-06,TX,Natural Gas,PCS,N3020TX3,13.46,$/MCF
56,2022-05,TX,Natural Gas,PCS,N3020TX3,13.03,$/MCF
57,2022-05,TX,Natural Gas,PIN,N3035TX3,7.91,$/MCF
58,2022-05,TX,Natural Gas,PEU,N3045TX3,7.8,$/MCF
61,2022-05,TX,Natural Gas,PG1,N3050TX3,8.58,$/MCF
62,2022-05,TX,Natural Gas,PRS,N3010TX3,25.12,$/MCF
64,2022-04,TX,Natural Gas,PRS,N3010TX3,17.42,$/MCF
65,2022-04,TX,Natural Gas,PEU,N3045TX3,6.3,$/MCF
66,2022-04,TX,Natural Gas,PCS,N3020TX3,11.41,$/MCF
69,2022-04,TX,Natural Gas,PG1,N3050TX3,6.89,$/MCF
70,2022-04,TX,Natural Gas,PIN,N3035TX3,6.03,$/MCF
72,2022-03,TX,Natural Gas,PRS,N3010TX3,13.07,$/MCF
73,2022-03,TX,Natural Gas,PG1,N3050TX3,5.28,$/MCF
77,2022-03,TX,Natural Gas,PIN,N3035TX3,4.91,$/MCF
78,2022-03,TX,Natural Gas,PCS,N3020TX3,10.11,$/MCF
79,2022-03,TX,Natural Gas,PEU,N3045TX3,4.93,$/MCF
80,2022-02,TX,Natural Gas,PEU,N3045TX3,5.49,$/MCF
82,2022-02,TX,Natural Gas,PG1,N3050TX3,5.48,$/MCF
83,2022-02,TX,Natural Gas,PRS,N3010TX3,11.98,$/MCF
84,2022-02,TX,Natural Gas,PCS,N3020TX3,9.62,$/MCF
86,2022-02,TX,Natural Gas,PIN,N3035TX3,6.62,$/MCF
88,2022-01,TX,Natural Gas,PEU,N3045TX3,4.47,$/MCF
89,2022-01,TX,Natural Gas,PG1,N3050TX3,5.1,$/MCF
91,2022-01,TX,Natural Gas,PCS,N3020TX3,9.29,$/MCF
92,2022-01,TX,Natural Gas,PIN,N3035TX3,5.12,$/MCF
99,2021-12,TX,Natural Gas,PRS,N3010TX3,19.1,$/MCF
100,2021-12,TX,Natural Gas,PCS,N3020TX3,10.24,$/MCF
101,2021-12,TX,Natural Gas,PEU,N3045TX3,4.28,$/MCF
102,2021-12,TX,Natural Gas,PG1,N3050TX3,7.11,$/MCF
103,2021-12,TX,Natural Gas,PIN,N3035TX3,5.69,$/MCF
104,2021-11,TX,Natural Gas,PEU,N3045TX3,5.33,$/MCF
105,2021-11,TX,Natural Gas,PIN,N3035TX3,6.33,$/MCF
106,2021-11,TX,Natural Gas,PG1,N3050TX3,6.66,$/MCF
107,2021-11,TX,Natural Gas,PCS,N3020TX3,10.54,$/MCF
109,2021-11,TX,Natural Gas,PRS,N3010TX3,16.16,$/MCF
112,2021-10,TX,Natural Gas,PG1,N3050TX3,6.76,$/MCF
113,2021-10,TX,Natural Gas,PIN,N3035TX3,6.24,$/MCF
116,2021-10,TX,Natural Gas,PCS,N3020TX3,10.96,$/MCF
117,2021-10,TX,Natural Gas,PRS,N3010TX3,23.29,$/MCF
119,2021-10,TX,Natural Gas,PEU,N3045TX3,5.46,$/MCF
121,2021-09,TX,Natural Gas,PG1,N3050TX3,5.47,$/MCF
122,2021-09,TX,Natural Gas,PRS,N3010TX3,24.87,$/MCF
123,2021-09,TX,Natural Gas,PEU,N3045TX3,5.06,$/MCF
124,2021-09,TX,Natural Gas,PIN,N3035TX3,4.91,$/MCF
126,2021-09,TX,Natural Gas,PCS,N3020TX3,10.19,$/MCF
128,2021-08,TX,Natural Gas,PG1,N3050TX3,4.4,$/MCF
129,2021-08,TX,Natural Gas,PCS,N3020TX3,9.8,$/MCF
130,2021-08,TX,Natural Gas,PIN,N3035TX3,4.49,$/MCF
132,2021-08,TX,Natural Gas,PEU,N3045TX3,4.21,$/MCF
135,2021-08,TX,Natural Gas,PRS,N3010TX3,24.58,$/MCF
136,2021-07,TX,Natural Gas,PCS,N3020TX3,9.22,$/MCF
137,2021-07,TX,Natural Gas,PRS,N3010TX3,22.56,$/MCF
138,2021-07,TX,Natural Gas,PEU,N3045TX3,3.97,$/MCF
139,2021-07,TX,Natural Gas,PIN,N3035TX3,4.13,$/MCF
143,2021-07,TX,Natural Gas,PG1,N3050TX3,4.29,$/MCF
144,2021-06,TX,Natural Gas,PG1,N3050TX3,3.36,$/MCF
146,2021-06,TX,Natural Gas,PRS,N3010TX3,20.36,$/MCF
147,2021-06,TX,Natural Gas,PIN,N3035TX3,3.52,$/MCF
148,2021-06,TX,Natural Gas,PCS,N3020TX3,8.78,$/MCF
151,2021-06,TX,Natural Gas,PEU,N3045TX3,3.42,$/MCF
153,2021-05,TX,Natural Gas,PIN,N3035TX3,3.38,$/MCF
156,2021-05,TX,Natural Gas,PEU,N3045TX3,3.23,$/MCF
157,2021-05,TX,Natural Gas,PG1,N3050TX3,3.56,$/MCF
158,2021-05,TX,Natural Gas,PRS,N3010TX3,17.01,$/MCF
159,2021-05,TX,Natural Gas,PCS,N3020TX3,8.7,$/MCF
160,2021-04,TX,Natural Gas,PCS,N3020TX3,7.87,$/MCF
162,2021-04,TX,Natural Gas,PG1,N3050TX3,3.69,$/MCF
164,2021-04,TX,Natural Gas,PIN,N3035TX3,2.93,$/MCF
165,2021-04,TX,Natural Gas,PRS,N3010TX3,14.45,$/MCF
167,2021-04,TX,Natural Gas,PEU,N3045TX3,3.0,$/MCF
169,2021-03,TX,Natural Gas,PIN,N3035TX3,3.12,$/MCF
171,2021-03,TX,Natural Gas,PCS,N3020TX3,7.17,$/MCF
172,2021-03,TX,Natural Gas,PRS,N3010TX3,9.64,$/MCF
173,2021-03,TX,Natural Gas,PEU,N3045TX3,2.92,$/MCF
175,2021-03,TX,Natural Gas,PG1,N3050TX3,4.56,$/MCF
176,2021-02,TX,Natural Gas,PCS,N3020TX3,6.73,$/MCF
177,2021-02,TX,Natural Gas,PIN,N3035TX3,16.14,$/MCF
178,2021-02,TX,Natural Gas,PEU,N3045TX3,56.59,$/MCF
179,2021-02,TX,Natural Gas,PG1,N3050TX3,40.67,$/MCF
180,2021-02,TX,Natural Gas,PRS,N3010TX3,8.89,$/MCF
184,2021-01,TX,Natural Gas,PEU,N3045TX3,2.79,$/MCF
187,2021-01,TX,Natural Gas,PCS,N3020TX3,7.11,$/MCF
188,2021-01,TX,Natural Gas,PRS,N3010TX3,10.99,$/MCF
190,2021-01,TX,Natural Gas,PG1,N3050TX3,3.02,$/MCF
191,2021-01,TX,Natural Gas,PIN,N3035TX3,2.82,$/MCF
194,2020-12,TX,Natural Gas,PCS,N3020TX3,6.89,$/MCF
195,2020-12,TX,Natural Gas,PRS,N3010TX3,10.33,$/MCF
196,2020-12,TX,Natural Gas,PEU,N3045TX3,2.82,$/MCF
198,2020-12,TX,Natural Gas,PIN,N3035TX3,3.03,$/MCF
199,2020-12,TX,Natural Gas,PG1,N3050TX3,3.15,$/MCF
200,2020-11,TX,Natural Gas,PIN,N3035TX3,3.12,$/MCF
201,2020-11,TX,Natural Gas,PG1,N3050TX3,3.18,$/MCF
202,2020-11,TX,Natural Gas,PRS,N3010TX3,14.02,$/MCF
204,2020-11,TX,Natural Gas,PCS,N3020TX3,7.71,$/MCF
207,2020-11,TX,Natural Gas,PEU,N3045TX3,2.79,$/MCF
208,2020-10,TX,Natural Gas,PCS,N3020TX3,7.18,$/MCF
209,2020-10,TX,Natural Gas,PG1,N3050TX3,2.58,$/MCF
210,2020-10,TX,Natural Gas,PIN,N3035TX3,2.49,$/MCF
212,2020-10,TX,Natural Gas,PRS,N3010TX3,15.79,$/MCF
214,2020-10,TX,Natural Gas,PEU,N3045TX3,2.41,$/MCF
216,2020-09,TX,Natural Gas,PCS,N3020TX3,8.11,$/MCF
218,2020-09,TX,Natural Gas,PEU,N3045TX3,2.19,$/MCF
221,2020-09,TX,Natural Gas,PIN,N3035TX3,2.64,$/MCF
222,2020-09,TX,Natural Gas,PG1,N3050TX3,2.99,$/MCF
223,2020-09,TX,Natural Gas,PRS,N3010TX3,21.6,$/MCF
224,2020-08,TX,Natural Gas,PIN,N3035TX3,2.18,$/MCF
226,2020-08,TX,Natural Gas,PRS,N3010TX3,21.43,$/MCF
229,2020-08,TX,Natural Gas,PEU,N3045TX3,2.42,$/MCF
230,2020-08,TX,Natural Gas,PG1,N3050TX3,2.79,$/MCF
231,2020-08,TX,Natural Gas,PCS,N3020TX3,7.94,$/MCF
232,2020-07,TX,Natural Gas,PRS,N3010TX3,19.76,$/MCF
233,2020-07,TX,Natural Gas,PEU,N3045TX3,2.01,$/MCF
234,2020-07,TX,Natural Gas,PG1,N3050TX3,2.79,$/MCF
235,2020-07,TX,Natural Gas,PIN,N3035TX3,1.74,$/MCF
237,2020-07,TX,Natural Gas,PCS,N3020TX3,7.24,$/MCF
240,2020-06,TX,Natural Gas,PEU,N3045TX3,1.83,$/MCF
241,2020-06,TX,Natural Gas,PIN,N3035TX3,1.89,$/MCF
243,2020-06,TX,Natural Gas,PRS,N3010TX3,18.75,$/MCF
244,2020-06,TX,Natural Gas,PG1,N3050TX3,2.75,$/MCF
245,2020-06,TX,Natural Gas,PCS,N3020TX3,8.61,$/MCF
248,2020-05,TX,Natural Gas,PEU,N3045TX3,1.98,$/MCF
251,2020-05,TX,Natural Gas,PRS,N3010TX3,15.84,$/MCF
252,2020-05,TX,Natural Gas,PIN,N3035TX3,1.99,$/MCF
254,2020-05,TX,Natural Gas,PG1,N3050TX3,2.5,$/MCF
255,2020-05,TX,Natural Gas,PCS,N3020TX3,7.09,$/MCF
256,2020-04,TX,Natural Gas,PCS,N3020TX3,6.03,$/MCF
257,2020-04,TX,Natural Gas,PEU,N3045TX3,1.83,$/MCF
260,2020-04,TX,Natural Gas,PIN,N3035TX3,1.86,$/MCF
261,2020-04,TX,Natural Gas,PRS,N3010TX3,13.13,$/MCF
262,2020-04,TX,Natural Gas,PG1,N3050TX3,2.69,$/MCF
264,2020-03,TX,Natural Gas,PEU,N3045TX3,1.76,$/MCF
265,2020-03,TX,Natural Gas,PRS,N3010TX3,9.27,$/MCF
266,2020-03,TX,Natural Gas,PCS,N3020TX3,5.65,$/MCF
268,2020-03,TX,Natural Gas,PIN,N3035TX3,2.04,$/MCF
271,2020-03,TX,Natural Gas,PG1,N3050TX3,2.43,$/MCF
272,2020-02,TX,Natural Gas,PCS,N3020TX3,5.22,$/MCF
274,2020-02,TX,Natural Gas,PG1,N3050TX3,2.31,$/MCF
275,2020-02,TX,Natural Gas,PRS,N3010TX3,8.07,$/MCF
278,2020-02,TX,Natural Gas,PEU,N3045TX3,1.86,$/MCF
279,2020-02,TX,Natural Gas,PIN,N3035TX3,2.1,$/MCF
281,2020-01,TX,Natural Gas,PCS,N3020TX3,5.57,$/MCF
283,2020-01,TX,Natural Gas,PIN,N3035TX3,2.32,$/MCF
284,2020-01,TX,Natural Gas,PRS,N3010TX3,8.26,$/MCF
285,2020-01,TX,Natural Gas,PEU,N3045TX3,1.93,$/MCF
286,2020-01,TX,Natural Gas,PG1,N3050TX3,2.55,$/MCF
