,period,msn,seriesDescription,value,unit
2,2023-01,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1954.188,Trillion Btu
4,2022-12,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1863.058,Trillion Btu
10,2022-11,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1959.549,Trillion Btu
15,2022-10,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1963.434,Trillion Btu
18,2022-09,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1902.07,Trillion Btu
21,2022-08,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1966.067,Trillion Btu
24,2022-07,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1970.178,Trillion Btu
28,2022-06,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1895.282,Trillion Btu
34,2022-05,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1875.533,Trillion Btu
36,2022-04,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1882.879,Trillion Btu
42,2022-03,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1995.148,Trillion Btu
47,2022-02,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1848.593,Trillion Btu
49,2022-01,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,2060.259,Trillion Btu
54,2021-12,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,2010.913,Trillion Btu
58,2021-11,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1931.111,Trillion Btu
63,2021-10,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1948.291,Trillion Btu
66,2021-09,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1868.884,Trillion Btu
69,2021-08,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1952.382,Trillion Btu
74,2021-07,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1902.92,Trillion Btu
76,2021-06,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1879.563,Trillion Btu
82,2021-05,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1921.45,Trillion Btu
84,2021-04,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1889.504,Trillion Btu
90,2021-03,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1893.81,Trillion Btu
95,2021-02,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1608.733,Trillion Btu
97,2021-01,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,2021.562,Trillion Btu
100,2020-12,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,2006.327,Trillion Btu
106,2020-11,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1904.864,Trillion Btu
111,2020-10,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1886.104,Trillion Btu
114,2020-09,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1785.222,Trillion Btu
117,2020-08,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1845.961,Trillion Btu
120,2020-07,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1800.216,Trillion Btu
124,2020-06,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1686.459,Trillion Btu
130,2020-05,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1684.977,Trillion Btu
132,2020-04,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1616.772,Trillion Btu
138,2020-03,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1941.479,Trillion Btu
143,2020-02,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,1888.423,Trillion Btu
145,2020-01,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,2013.471,Trillion Btu
